ID,Food Item,Category,Storage Type,Dietary Notes
1,"Apple, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
2,"Apple, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
3,"Apple, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
4,"Apple, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
5,"Banana, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
6,"Banana, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
7,"Banana, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
8,"Banana, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
9,"Orange, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
10,"Orange, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
11,"Orange, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
12,"Orange, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
13,"Pear, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
14,"Pear, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
15,"Pear, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
16,"Pear, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
17,"Peach, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
18,"Peach, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
19,"Peach, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
20,"Peach, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
21,"Plum, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
22,"Plum, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
23,"Plum, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
24,"Plum, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
25,"Nectarine, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
26,"Nectarine, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
27,"Nectarine, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
28,"Nectarine, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
29,"Apricot, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
30,"Apricot, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
31,"Apricot, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
32,"Apricot, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
33,"Mango, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
