source,source_record_id,ein,organization_name,dba_name,street,city,state,zip,county,latitude,longitude,ntee_code,ntee_definition,status_code,status_definition,last_seen_vintage,tax_period,revenue_amount,asset_amount,income_amount,size,size_basis,active_flag,source_url
IRS/NCCS BMF,26-0523970,26-0523970,He Will Provide,,236 FIFTH AVE,SEWARD,AK,99664-4400,Kenai Peninsula Borough,60.1016380860617,-149.438741221994,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202512,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,45-4011416,45-4011416,Upper Susitna Food Pantry,,PO BOX 277,TALKEETNA,AK,99676-0277,Matanuska-Susitna Borough,62.253117,-150.0560505,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,630662,369101,630662,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,46-1962921,46-1962921,Anchor Point Food Pantry,,73473 SCHOOL AVE 266,ANCHOR POINT,AK,99556-9908,Kenai Peninsula Borough,59.7758786719447,-151.84117338583,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,474331,378647,474331,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,47-5511300,47-5511300,Famine To Feast,,PO BOX 1039,HOMER,AK,99603-1039,Kenai Peninsula Borough,59.671161,-151.478622,K31,"Food Banks, Pantries",1,Unconditional Exemption,2023-12,202212,0,0,0,Unknown,No positive IRS revenue reported,Likely,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,51-0582845,51-0582845,Feed My People,,,CHUGIAK,AK,99567,,,,K31,"Food Banks, Pantries",,,2012-12,200912,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,80-0339448,80-0339448,Helping Hands Food Bank,,PO BOX 822,TOK,AK,99780-0822,Southeast Fairbanks Census Area,63.335799,-142.9848,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202512,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,81-3050151,81-3050151,Shepherds Chariot,,,SALCHA,AK,99714,,,,K31,"Food Banks, Pantries",,,2020-04,201712,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,82-1061970,82-1061970,Open Door Mission,,,ANCHORAGE,AK,99520,,,,K31,"Food Banks, Pantries",,,2020-04,,,,,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,88-0612351,88-0612351,Bountiful,,929 STEDMAN ST,KETCHIKAN,AK,99901-6636,Ketchikan Gateway Borough,55.337544,-131.628699,K31,"Food Banks, Pantries",1,Unconditional Exemption,2025-08,,,,,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,92-0073175,92-0073175,Food Bank Of Alaska,,2192 VIKING DR,ANCHORAGE,AK,99501-1731,Anchorage Municipality,61.2242154942585,-149.839641,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202506,31112316,25354472,31590854,Large,IRS revenue >= $25M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,92-0088266,92-0088266,Fairbanks Community Food Bank Service,,725 26TH AVE STE 203,FAIRBANKS,AK,99701-7000,Fairbanks North Star Borough,64.8233854928736,-147.718116,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202406,10528024,13388429,10528024,Medium,IRS revenue $5M–<$25M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,92-0150918,92-0150918,Matsu Food Bank,,PO BOX 873280,WASILLA,AK,99687-3280,Matanuska-Susitna Borough,61.584381,-149.442831,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,1782045,2900393,1802688,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,92-0152121,92-0152121,Helping Hands,,PO BOX 33721,JUNEAU,AK,99803-3721,City and Borough of Juneau,58.299732,-134.406792,K31,"Food Banks, Pantries",1,Unconditional Exemption,2025-02,202212,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,92-0165056,92-0165056,Southeast Alaska Food Bank,,PO BOX 33681,JUNEAU,AK,99803-3681,City and Borough of Juneau,58.299732,-134.406792,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202406,1300941,2925342,1300941,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,92-0174184,92-0174184,Neighbor To Neighbor,,PO BOX 26,HEALY,AK,99743-0026,Denali Borough,63.871452,-149.017842,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,76067,72199,76067,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,93-2678909,93-2678909,Pow Island Food Bank,,PO BOX 694,CRAIG,AK,99921-0694,Prince of Wales-Hyder Census Area,55.477467,-133.1385885,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202506,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,94-3112445,94-3112445,Kenai Peninsula Food Bank,,33955 COMMUNITY COLLEGE DR,SOLDOTNA,AK,99669-9235,Kenai Peninsula Borough,60.472699962808,-151.134230653442,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,4137132,2897634,4150432,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
